20140901,322108186,272740774
20140902,311133238,258948629
20140903,343016419,289673731
20140904,341668186,270705943
20140905,280084563,247598910
20140906,287616650,247939071
20140907,318152554,274037921
20140908,328444128,281277696
20140909,327794208,274469952
20140910,327906144,293871104
20140911,342745402,273217459
20140912,313371610,275026550
20140913,313406688,274361506
20140914,283794123,248833546
20140915,317533442,287550074
20140916,343849766,309372638
20140917,322475584,295498496
20140918,322508992,262855392
20140919,280180566,252387093
20140920,315748877,279493754
20140921,307905898,278691706
20140922,340313837,319960738
20140923,305476133,281977450
20140924,306044157,283147424
20140925,338259331,279577939
20140926,292553152,266536800
20140927,284150077,252794027
20140928,284385738,255054541
20140929,345089976,322974053
20140930,337079904,312831221
